"filing_year","area","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2010,67,367,5.790,41,5,321,110,211,2000,109,37,95,61,19,171,150,289,32,28,4,212,109,197,92,15,17,13,15,2,2,129,27,165,126,27,136,3,0,29,39,282,38,251,1,31
2010,68,530,6.040,36,3,491,113,378,1671.500,113,87,168,96,27,238,253,456,35,25,10,335,156,317,139,18,17,17,8,1,9,208,39,244,206,38,212,2,1,32,77,414,76,380,1,34
2010,69,622,6.530,41,8,573,173,400,1771,170,65,212,89,37,175,398,514,59,52,7,389,184,358,156,31,28,30,22,1,6,259,43,271,250,41,223,9,2,48,68,505,66,448,2,57
2010,70,100,5.880,8,2,90,28,62,2259.150,28,10,24,16,12,25,65,76,14,10,4,52,38,42,34,10,4,9,1,1,3,29,9,52,27,9,40,2,0,12,9,81,6,70,3,11
2010,71,709,7.060,26,7,676,130,546,1800,128,103,284,118,43,218,458,621,55,43,12,443,233,424,197,19,36,18,25,1,11,284,69,323,281,68,272,3,1,51,83,593,83,538,0,55
2010,72,32,2.060,2,1,29,7,22,1837.500,7,2,13,2,5,10,19,24,5,4,1,12,17,9,15,3,2,3,1,0,1,6,2,21,5,2,17,1,0,4,1,28,1,23,0,5
2010,73,135,4.210,8,2,125,40,85,1860,40,9,44,22,10,53,72,111,14,12,2,73,52,64,47,9,5,8,4,1,1,44,19,62,41,19,51,3,0,11,15,110,14,97,1,13
2010,74,86,9.870,1,2,83,2,81,1658.500,2,12,44,17,8,1,82,79,4,3,1,36,47,33,46,3,1,2,1,1,0,29,10,44,29,10,40,0,0,4,12,71,12,67,0,4
2010,75,117,5.520,9,1,107,26,81,2703,26,10,25,32,14,38,69,99,8,7,1,59,48,57,42,2,6,2,5,0,1,32,9,66,32,8,59,0,1,7,18,89,18,81,0,8
2010,76,106,3.390,2,0,104,15,89,1700,13,14,49,23,5,16,88,99,5,4,1,53,51,50,49,3,2,3,1,0,1,30,24,50,30,24,45,0,0,5,12,92,12,87,0,5
2010,77,599,3.050,7,2,590,42,548,2549.450,38,48,216,217,71,39,551,540,50,37,13,351,239,322,218,29,21,25,12,4,9,213,61,316,212,60,268,1,1,48,87,503,83,457,4,46
2011,1,749,4,7,9,733,82,651,2165,75,102,283,202,71,83,650,664,69,53,16,450,283,409,255,41,28,36,17,5,11,272,49,412,266,49,349,6,0,63,108,625,106,558,2,67
2011,2,474,3.690,30,7,437,56,381,2900,53,36,123,135,90,55,382,395,42,35,7,284,153,265,130,19,23,19,16,0,7,165,39,233,161,38,196,4,1,37,91,346,90,305,1,41
2011,3,557,2.530,3,5,549,65,484,2092.640,59,87,203,139,61,26,523,483,66,48,18,311,238,289,194,22,44,19,29,3,15,180,56,313,177,53,253,3,3,60,88,461,84,399,4,62
2011,4,183,1.620,9,1,173,32,141,2310,32,11,71,38,21,34,139,158,15,14,1,95,78,84,74,11,4,11,3,0,1,54,16,103,52,16,90,2,0,13,22,151,22,136,0,15
2011,5,64,0.870,2,2,60,9,51,3100,9,4,16,19,12,15,45,51,9,8,1,28,32,24,27,4,5,4,4,0,1,10,5,45,9,5,37,1,0,8,5,55,5,46,0,9
2011,6,468,1.330,8,9,451,33,418,2127,32,59,185,116,59,27,424,407,44,36,8,241,210,216,191,25,19,21,15,4,4,136,55,260,133,55,219,3,0,41,79,372,74,333,5,39
2011,7,296,1.620,3,6,287,39,248,2750,36,21,93,78,59,28,259,247,40,31,9,134,153,118,129,16,24,13,18,3,6,69,34,184,68,33,146,1,1,38,47,240,45,202,2,38
2011,8,908,3.180,11,16,881,115,766,2659.500,112,121,239,244,165,25,856,758,123,86,37,463,418,416,342,47,76,43,43,4,33,265,115,501,260,113,385,5,2,116,160,721,149,609,11,112
2011,9,16,1.740,1,1,14,0,14,2432.220,0,3,5,1,5,2,12,12,2,2,0,10,4,8,4,2,0,2,0,0,0,8,1,5,7,1,4,1,0,1,3,11,3,9,0,2
2011,10,61,1.750,1,1,59,14,45,2088.160,14,6,21,15,3,11,48,50,9,8,1,36,23,32,18,4,5,4,4,0,1,21,6,32,20,6,24,1,0,8,10,49,10,40,0,9
2011,11,77,2.380,6,1,70,13,57,2280,13,11,21,15,10,15,55,61,9,8,1,43,27,39,22,4,5,4,4,0,1,24,2,44,24,2,35,0,0,9,10,60,10,51,0,9
2011,12,35,3.670,3,1,31,7,24,3611.610,7,1,6,7,10,4,27,21,10,10,0,16,15,12,9,4,6,4,6,0,0,6,3,22,6,2,13,0,1,9,2,29,2,19,0,10
2011,13,43,1.410,3,0,40,9,31,2000,9,5,15,6,5,6,34,34,6,3,3,24,16,21,13,3,3,2,1,1,2,9,4,27,9,4,21,0,0,6,6,34,6,28,0,6
2011,14,231,2.160,12,6,213,56,157,2289.970,54,24,71,42,22,45,168,184,29,23,6,129,84,118,66,11,18,11,12,0,6,65,7,141,64,7,113,1,0,28,29,184,29,155,0,29
2011,15,284,2.720,22,3,259,74,185,2025,72,33,92,37,25,58,201,235,24,17,7,161,98,145,90,16,8,14,3,2,5,74,22,163,73,21,141,1,1,22,34,225,34,201,0,24
